#name	zcmb	mb	dmb
2009nq	0.01572	14.86115	0.1939
2010A	0.01972	15.27645	0.15785
2010H	0.01678	14.92685	0.15925
2010Y	0.01226	14.4674	0.17765
2010dt	0.05322	17.57915	0.12805
PTF10bjs	0.03055	15.88935	0.45085
2004ef	0.03001	16.1733	0.12025
2004eo	0.01506	14.6193	0.15445
2004ey	0.0153	14.6705	0.1456
2004gu	0.04713	17.1679	0.1151
2005be	0.03411	16.515	0.1148
2005bo	0.0152	14.53545	0.1635
2005el	0.01504	14.69915	0.1491
2005eq	0.02763	16.23455	0.1179
2005iq	0.03359	16.59355	0.1061
2005kc	0.01447	14.6408	0.16555
2005M	0.02547	15.86575	0.1242
2006bh	0.01082	14.0086	0.18445
2006ef	0.01741	15.1	0.1498
2006ej	0.02031	15.30565	0.1353
2006eq	0.04819	17.4344	0.12175
2006et	0.02223	15.3918	0.13205
2006ev	0.02811	16.3465	0.12485
2006lu	0.05458	17.4521	0.1018
2006py	0.05721	17.60445	0.1094
2007bc	0.02091	15.36595	0.1368
2007ca	0.01454	14.99535	0.1656
2007nq	0.0431	16.97675	0.10685
2008bq	0.03273	16.3843	0.1205
2008gp	0.03399	16.35135	0.11105
2008hv	0.01382	14.47835	0.15385
1993ac	0.05092	17.42035	0.1224
1993ae	0.01752	15.0558	0.1465
1994M	0.02482	15.64995	0.13485
1994Q	0.0288	16.09165	0.13605
1994S	0.01568	14.7589	0.1525
1995ak	0.02197	15.36745	0.1436
1996bl	0.03426	16.4701	0.12025
1996bv	0.01698	14.6697	0.1558
1996C	0.02752	16.23595	0.1341
1997dg	0.03438	16.6071	0.12105
1997E	0.01318	14.55605	0.17285
1997Y	0.01726	14.9156	0.1511
1998dk	0.01209	13.9791	0.1914
1998dx	0.05418	17.3218	0.11385
1998ec	0.0197	15.45455	0.1578
1998ef	0.01662	14.6312	0.14705
1998eg	0.02398	15.8239	0.13525
1999cc	0.03144	16.31895	0.12075
1999dq	0.01291	14.1903	0.1716
1999ef	0.03827	16.99715	0.1201
1999ej	0.01532	14.9486	0.16405
1999X	0.02643	15.91835	0.1425
2000B	0.0202	15.02285	0.15165
2000cf	0.0373	16.8196	0.11505
2000cn	0.02348	15.66265	0.13895
2000dk	0.01635	14.8831	0.1518
2000fa	0.02275	15.5348	0.13625
6	0.23027	21.0138	0.14645
11	0.38164	22.52675	0.14085
34	0.2534	21.09145	0.11245
91	0.15269	19.93715	0.11585
142	0.43673	22.84545	0.14185
190	0.10242	19.15365	0.1077
199	0.37164	22.12745	0.10645
215	0.46664	22.7822	0.11645
236	0.19602	20.50135	0.109
420	0.31156	21.7417	0.10825
10026	0.0322	16.472	0.1289
20027	0.10989	19.29245	0.12085
20096	0.22562	20.723	0.12425
20176	0.26051	21.22765	0.12265
30066	0.22556	20.8629	0.1228
40137	0.44758	22.59905	0.1524
40166	0.44007	22.85455	0.16925
40782	0.33742	21.74045	0.14605
50005	0.52851	22.8422	0.14315
50203	0.57613	23.2359	0.14515
50251	0.38775	22.3891	0.15885
50293	0.36001	21.92755	0.1335
50301	0.34701	21.7912	0.14045
50607	0.43927	22.56615	0.132
70955	0.34923	21.8575	0.11575
80723	0.43015	22.5444	0.12545
90201	0.50818	22.7793	0.14135
91869	0.28845	21.4826	0.1256
100090	0.17281	20.49025	0.1308
100163	0.31774	21.8387	0.1521
100213	0.27509	21.50715	0.1382
100405	0.10293	18.90405	0.12325
110033	0.20584	20.5539	0.15765
110478	0.2646	21.2449	0.1389
110536	0.23466	20.8644	0.19515
110567	0.21434	20.73405	0.17345
110719	0.42784	23.03515	0.17065
110734	0.40214	22.2536	0.149
120085	0.32218	21.54775	0.14025
120094	0.45173	22.72345	0.12465
120336	0.16139	20.07365	0.12015
120400	0.35161	22.05965	0.1158
120585	0.249	21.02715	0.11585
130308	0.08223	18.52945	0.1223
130514	0.10588	19.1167	0.10015
130862	0.33293	22.0508	0.14375
140181	0.10227	19.0531	0.1106
150509	0.29282	21.4896	0.1351
151034	0.13269	19.53775	0.0994
160039	0.27088	21.22425	0.12
160099	0.10044	19.0807	0.10935
160197	0.35363	22.1458	0.14555
160200	0.42353	22.599	0.2655
170428	0.30012	21.71085	0.11935
180166	0.14761	19.88745	0.11365
180561	0.22853	20.96525	0.12895
190230	0.1388	19.82205	0.1072
190260	0.14343	19.88005	0.10815
300105	0.09201	18.9547	0.1139
310025	0.1568	20.1239	0.12545
310042	0.23851	21.19555	0.2471
310073	0.14949	20.15155	0.16675
310091	0.50718	22.9937	0.1404
310161	0.25249	21.20755	0.11325
310238	0.28397	21.3163	0.1146
310574	0.2368	21.0224	0.1241
320258	0.34092	21.88785	0.1485
330022	0.26388	21.064	0.1418
330089	0.34872	22.1162	0.13315
330128	0.32095	21.71485	0.1245
330146	0.13523	19.80745	0.1216
340334	0.30666	21.88165	0.1627
350047	0.23362	21.21045	0.1599
350078	0.30078	21.91835	0.1704
350083	0.36783	21.9904	0.12345
350233	0.1694	20.2554	0.1144
350316	0.07976	18.337	0.10315
350548	0.1806	20.3864	0.1142
360112	0.18071	20.34675	0.16425
360140	0.23086	21.03315	0.15375
360156	0.04582	17.29255	0.1243
370098	0.22146	20.7853	0.1197
370308	0.20073	20.5274	0.21145
370333	0.0755	18.378	0.11965
370356	0.02627	15.98385	0.1362
370369	0.19141	20.055	0.15515
370428	0.1777	20.3552	0.11035
370563	0.18542	20.5371	0.1169
380279	0.34931	22.02925	0.13805
380378	0.27131	21.30945	0.10785
390264	0.29212	21.17535	0.1226
390471	0.37051	21.7944	0.11375
420100	0.09641	18.8215	0.14795
420159	0.18058	20.2752	0.1117
420258	0.27446	21.3734	0.1525
420407	0.2451	21.2589	0.1441
420417	0.36135	21.9082	0.2036
430004	0.23152	20.92185	0.1499
440008	0.14648	19.91105	0.11095
440042	0.15948	20.18505	0.1775
440162	0.41929	22.4583	0.14905
440509	0.31894	21.66595	0.15665
450175	0.51941	22.97595	0.19605
460003	0.15069	19.9375	0.11
460037	0.30249	21.6135	0.15825
460105	0.21073	20.73865	0.1623
470008	0.23943	20.71895	0.1478
470041	0.3318	21.7581	0.12005
470232	0.20072	20.72485	0.1607
470244	0.36082	22.1621	0.14215
480064	0.24275	21.3408	0.1213
480464	0.22146	20.82175	0.14915
490008	0.12068	19.3688	0.1916
490521	0.3416	21.88605	0.16925
500004	0.25051	21.0268	0.13165
500057	0.38054	22.1535	0.1307
500100	0.31079	21.81735	0.13845
500504	0.1994	20.3968	0.14145
510251	0.24001	21.0934	0.1643
510457	0.50275	22.89585	0.20855
510578	0.37013	22.10035	0.1358
510638	0.27001	21.36745	0.13725
520019	0.26312	21.391	0.1313
520023	0.26801	21.22475	0.16715
520062	0.30801	21.95175	0.1182
520077	0.25001	21.3768	0.1625
520188	0.28051	21.3787	0.11055
530112	0.3148	21.9041	0.12485
530219	0.3284	22.1329	0.16575
540163	0.32944	21.9869	0.11895
550041	0.25848	21.13905	0.14085
550096	0.22448	20.6681	0.15385
550154	0.21079	20.9208	0.1231
550218	0.38734	22.2944	0.18525
560087	0.30642	21.6875	0.1493
560121	0.36491	22.2065	0.1423
560152	0.2488	21.1327	0.1596
570025	0.2988	21.39335	0.16425
